Human readable time,Voltage(V),Current(A),Resistance(Ohms),Inductance,ADR temp
2017-07-20 13:14:16.938144,0.001,0.001,-132.328,16.0,2.9
2017-07-20 13:14:18.938397,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:20.940595,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:22.940841,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:24.943001,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:26.945192,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:28.947382,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:30.949573,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:32.951442,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:34.953582,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:36.955777,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:38.958038,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:40.960210,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:42.962391,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:44.963434,0.1,10,-0.0033327999999999995,16.0,2.9
2017-07-20 13:14:46.965588,0.16,1.5,0.017781333333333333,16.0,2.9
