Human readable time,Voltage(V),Current(A),Resistance(Ohms),ADR temp
2017-07-25 11:37:29.281656,0.001,0.001,-132.328,2.9
2017-07-25 11:37:30.283027,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:31.284218,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:32.285464,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:33.286709,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:34.288067,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:35.289374,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:36.290725,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:37.291986,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:38.293232,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:39.294444,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:40.295770,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:41.297014,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:42.298277,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:43.299652,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:44.300024,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:45.300573,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:46.301380,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:47.302636,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:48.304087,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:49.305274,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:50.306656,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:51.308092,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:52.309489,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:53.310773,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:54.312056,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:55.313410,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:56.314645,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:57.315852,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:58.317123,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:37:59.318612,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:00.319951,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:01.321190,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:02.322501,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:03.323712,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:04.324886,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:05.326100,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:06.327324,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:07.328622,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:08.329825,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:09.330853,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:10.331094,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:11.332335,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:12.333343,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:13.334583,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:14.335765,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:15.336990,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:16.338259,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:17.339631,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:18.340863,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:19.342064,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:20.343247,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:21.344499,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:22.345695,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:23.346928,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:24.348167,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:25.349344,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:26.350714,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:27.351950,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:28.353137,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:29.354375,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:30.355712,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:31.357064,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:32.358690,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:33.359929,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:38:34.361168,0.16,1.5,0.017781333333333333,2.9
2017-07-25 11:38:38.921224,0.16,1.5,0.017781333333333333,2.9
2017-07-25 11:38:40.923645,0.16,1.5,0.017781333333333333,2.8
2017-07-25 11:38:42.926099,0.16,1.5,0.017781333333333333,2.6999999999999997
2017-07-25 11:38:44.928526,0.16,1.5,0.017781333333333333,2.5999999999999996
2017-07-25 11:38:46.930501,0.16,1.5,0.017781333333333333,2.4999999999999996
